date,open,high,low,close,adj close,volume
2018-07-13,9.56,9.815,9.55,9.71,9.42345,27224000
2018-07-16,9.865,9.885,9.77,9.8,9.510794,14771800
2018-07-17,9.785,9.97,9.76,9.95,9.656367,12135400
2018-07-18,9.88,9.91,9.83,9.84,9.549613,5833800
2018-07-19,9.72,9.905,9.72,9.855,9.56417,14995000
2018-07-20,9.95,10.075,9.945,10.005,9.709743,10394600
2018-07-23,10.025,10.09,9.995,10.075,9.777678,6873400
2018-07-24,10.175,10.21,10.13,10.195,9.894136,8553200
2018-07-25,10.22,10.34,10.205,10.29,9.986332,7539200
2018-07-26,10.255,10.3,10.22,10.27,9.966924,9587400
2018-07-27,10.3,10.315,10.115,10.17,9.869875,8674800
2018-07-30,10.1,10.15,9.94,9.97,9.675777,14123200
2018-07-31,10.055,10.105,10.035,10.09,9.792234,16554000
2018-08-01,10.125,10.18,10.1,10.175,9.874727,9094000
2018-08-02,10.09,10.22,10.06,10.19,9.889283,14119600
2018-08-03,10.175,10.275,10.13,10.27,9.966924,8424400
2018-08-06,10.215,10.305,10.16,10.295,9.991185,6577600
2018-08-07,10.325,10.33,10.15,10.3,9.996037,9157800
2018-08-08,10.3,10.43,10.265,10.375,10.068825,7491200
2018-08-09,10.425,10.49,10.41,10.45,10.141611,5629600
2018-08-10,10.355,10.42,10.335,10.4,10.093086,4435400
2018-08-13,10.435,10.475,10.395,10.41,10.102792,4827600
2018-08-14,10.405,10.475,10.385,10.45,10.141611,5472800
2018-08-15,10.39,10.45,10.3,10.435,10.127054,6000200
2018-08-16,10.5,10.52,10.455,10.495,10.185283,6288200
2018-08-17,10.49,10.57,10.465,10.54,10.228956,7209600
2018-08-20,10.25,10.39,10.145,10.25,9.947514,12304800
2018-08-21,10.295,10.375,10.225,10.245,9.942661,8231200
2018-08-22,10.245,10.285,10.205,10.25,9.947514,10869000
2018-08-23,10.3,10.365,10.18,10.19,9.889283,11189200
2018-08-24,10.215,10.215,10.09,10.15,9.850465,7687000
2018-08-27,10.325,10.39,10.26,10.27,9.966924,7388600
2018-08-28,10.35,10.355,10.305,10.325,10.020301,7254000
2018-08-29,10.22,10.265,10.16,10.175,9.874727,12943200
2018-08-30,10.18,10.255,10.135,10.23,9.928103,9159000
2018-08-31,10.31,10.4,10.3,10.385,10.078529,6992200
2018-09-04,10.43,10.46,10.28,10.38,10.073677,12184400
2018-09-05,10.19,10.38,10.17,10.355,10.049415,12774400
2018-09-06,10.295,10.405,10.285,10.4,10.093086,7225000
2018-09-07,10.39,10.535,10.365,10.425,10.11735,10373600
2018-09-10,10.38,10.48,10.3,10.35,10.044563,8940600
2018-09-11,10.36,10.555,10.35,10.485,10.175577,8671800
2018-09-12,10.57,10.65,10.53,10.55,10.23866,4392500
2018-09-13,10.6,10.64,10.47,10.61,10.296889,9522300
2018-09-14,10.52,10.54,10.27,10.32,10.015448,10702000
2018-09-17,10.21,10.29,10.2,10.25,9.947514,7260000
2018-09-18,10.18,10.18,10.08,10.14,9.84076,6657600
2018-09-19,10.2,10.23,9.99,10.01,9.714596,11042600
2018-09-20,10.08,10.1,9.97,10.07,9.772825,9811500
2018-09-21,10.04,10.04,9.89,9.93,9.636957,7935600
2018-09-24,10.04,10.07,9.93,9.95,9.656367,12798900
2018-09-25,10.06,10.19,10.03,10.15,9.850465,10763500
2018-09-26,10.06,10.2,10.03,10.06,9.763121,6388300
2018-09-27,10.1,10.2,10.07,10.1,9.80194,8822100
2018-09-28,10.22,10.25,10.12,10.17,9.869875,9329800
2018-10-01,10.34,10.39,10.3,10.37,10.063972,7440100
2018-10-02,10.32,10.32,10.2,10.27,9.966924,9053800
2018-10-03,10.12,10.15,10.01,10.04,9.743711,10073600
2018-10-04,9.81,10.02,9.8,10.0,9.704891,14905600
2018-10-05,10.02,10.19,10.01,10.17,9.869875,8296800
